tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
ATROPELAMENTO;FINALIZADA;2018-01-01;0:01:00;SÃO JOSÉ;AV ENGENHEIRO JOSE ESTELITA;;EM FRENTE AO CAIS JOSE ESTELITA;ATROPELAMENTO;AUTO E PEDESTRE C/V;1;;;;1;;;;;1;
COLISÃO;CANCELADA;2018-01-01;2:45:00;CORDEIRO;AV CAXANGA;;PROX DO GALETOS, EM FRENTE AO PARQUE DE EXPOSIÇÕES, SENTIDO CIDADE;COLISÃO;COLISÃO ENTRE AUTO E MO S/V;1;1;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-01;3:33:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;PROX DO BANCO DO BRASIL, PROX DO BANCO ITAÚ;COLISÃO;COLISÃO ENTRE UM AUTO(TAXI) E VIATURA DA AERONAUTICA S/V;1;;;;;;;1;;0;
COLISÃO;FINALIZADA;2018-01-01;7:13:00;BAIRRO DO RECIFE;AV ALFREDO LISBOA;;PROX  AO POSTO  DE GASOLINA  BR   AO LADO  DO ARMAZEM  14;COLISÃO;COLISÃO  SEM  VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-01;7:50:00;CASA AMARELA;RUA PADRE LEMOS;767;EM FRENTE AO POSTO PETROBRAS;COLISÃO;TAXI E AUTO;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-01;16:01:00;ÁGUA FRIA;RUA MAJOR GUILHERME BONIFACIO;108;"PROX A PADARIA SANTO ANTÔNIO /  E/F AO DEPOSITO; CHARLES BEBIDAS";COLISÃO;2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-01;18:11:00;ARRUDA;AV BEBERIBE;;CRUZAMENTO COM A RUA ALEGRE SEMAFORO 064;COLISÃO;AUTO E ONIBUS CAXANGA;1;;;;;1;;;;0;
COLISÃO;CANCELADA;2018-01-01;18:32:00;ILHA JOANA BEZERRA;VIADUTO CAPITAO TEMUDO;;EM CIMA DO VIADULTO, SENT. AFOGADOS;COLISÃO;AUTO E MOTO;1;1;;;;;;;;0;
CHOQUE;FINALIZADA;2018-01-02;1:14:00;BOA VIAGEM;AV DES JOSE NEVES;;SAINDO DO TÚNEL, SENTIDO AEROPORTO // SEMÁFORO 567;CHOQUE;VEÍCULO CHOCOU-SE CONTRA UM POSTE;1;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;8:08:00;SANTO AMARO;RUA ALVARES DE AZEVEDO;180;AO LADO DO PROCAPE,SEMAFORO 093;COLISÃO;SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-02;9:40:00;AFOGADOS;RUA VINTE E UM DE ABRIL;2225;EM FRENTE A LOJA MULTILAR;COLISÃO;SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-02;9:47:00;CASA FORTE;AV DEZESSETE DE AGOSTO;;FARMACIA PAGUE MENOS;COLISÃO;SEM VITIMAS CTTU VT 13 NO LOCAL E VAI FAZER O B.O;2;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-02;9:48:00;ESTÂNCIA;AV JOAO CABRAL DE MELO NETO;;SENTIDO, AV RECIFE. SEMÁFORO 259. E/F AO DO CERPE;COLISÃO;SEM VÍTIMAS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-02;11:28:00;CASA AMARELA;RUA PAULA BATISTA;517;CRUZ  COM A  ESTRADA DO ARRAIAL  NA RUA  DA DELEGACIA  DE CASA AMARELA NO SEMAFORO Nº283;COLISÃO;COLISÃO  SEM  VITIMAS;3;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;13:13:00;TAMARINEIRA;RUA CONEGO BARATA;;DEFRONTE A FERREIRA COSTA, HOSP. ELENA MOURA;COLISÃO;COLISÃO SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-02;13:18:00;BOA VIAGEM;AV BOA VIAGEM;;PROX. AO INTERNACIONAL PALACE;COLISÃO;COLISÃO SEM VITIMAS;3;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;15:26:00;APIPUCOS;RUA DE APIPUCOS;;DEFRONTE AO 11º BATALHÃO;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;16:11:00;BAIRRO DO RECIFE;AV MILITAR;;PROX. A PREFEITURA DO RECIFE, POR TRAZ DA PILAR;COLISÃO;COLISÃO COM VITIMA;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-02;16:29:00;CORDEIRO;RUA GREGORIO JUNIOR;100;NA RUA DACASA DE FESTA  SALA DE REBOCO. PROX. A LOJA SHINERAY, SENTIDO DERBY;COLISÃO;DUAS MOTOS E UM AUTO;1;1;1;;;;;;;0;
CHOQUE;FINALIZADA;2018-01-02;16:32:00;ARRUDA;RUA PROFESSOR JERONIMO GUEIROS;423;C/ RUA DONA ELVIRA;CHOQUE;KLJ5269/ GM CLASSIC;1;;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-02;16:46:00;BAIRRO DO RECIFE;AV ALFREDO LISBOA;;ESPAÇO ALFANDEGA, DEFRONTE AO POSTO BR;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;17:11:00;APIPUCOS;RUA DE APIPUCOS;;LADO OPOSTO  AO NÚMERO 435;COLISÃO;UM AUTO E UMA MOTOCICLETA;1;1;;;;;;;;1;
ENGAVETAMENTO;FINALIZADA;2018-01-02;17:20:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;4935;EM FRENTE AO CORREIOS, AO LADO DO WALMART;ENGAVETAMENTO;TRES AUTOS S/V;3;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;18:06:00;CAXANGÁ;AV CAXANGA;;SENT. CIDADE , LADO CONTRARIO DA INTEGRAÇÃO DA CAXANGÁ E POSTO DE GASOLINA SHELL;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;19:22:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;APOS A PRAÇA DO DERBY SENT. BOA VIAGEM;COLISÃO;AUTO E ONIBUS;1;;;;;1;;;;0;
